,제품명
0,"국내산 애호박, 1개입, 1개"
1,"흙대파, 1kg, 1개"
2,"서울우유 1급A우유, 2300ml, 1개"
3,"탐사수 무라벨, 2L, 12개"
4,"친환경 국내산 팽이버섯, 300g(150gx2개입), 1개"
5,"곰곰 국내산 백오이, 5개입, 1개"
6,"곰곰 국내산 흙당근, 1kg, 1개"
7,"곰곰 국내산 양파, 1.5kg, 1개"
8,"국내산 청양고추, 150g, 1개"
9,"곰곰 아삭한 콩나물, 500g, 1봉"
10,"국내산 감자(햇), 500g, 1개"
11,"델몬트 필리핀 바나나, 1.4kg 내외, 1개"
12,"국내산 무, 1개입, 1개"
13,"돌 바나나, 1.2kg, 1개"
14,"제주삼다수 그린 무라벨, 2L, 12개"
15,"맥심 모카골드 마일드 커피믹스, 12g, 160개입, 1박스"
16,"탐사수 무라벨, 500ml, 40개"
17,"서울우유 후레쉬 밀크, 900ml, 2개"
18,"곰곰 우유식빵, 330g, 1개"
19,"서울우유 더 진한 순수 플레인 요거트, 1.8L, 1개"
20,"돌 스위티오 바나나, 1kg, 1개"
21,"국내산 양파(소), 1kg, 1개"
22,"국내산 깐마늘, 200g, 1개"
23,"국내산 깐마늘, 80g, 1개"
24,"곰곰 신선한 우유, 900ml, 1개"
25,"곰곰 양상추, 1개입, 1개"
26,"국내산 브로콜리, 1개입, 1개"
27,"곰곰 아삭한 숙주나물, 300g, 1봉"
28,"완숙 토마토, 1kg, 1팩"
29,"곰곰 국내산 감자 (햇), 1kg, 1개"
30,"곰곰 완숙 토마토, 1kg, 1개"
31,"곰곰 국내산 알배기, 1개입, 1개"
32,"곰곰 신선한 우유, 900ml, 2개"
33,"탐사 샘물, 2L, 12개"
34,"서울우유 목장의 신선함이 살아있는 우유, 1000ml, 1개"
35,"삼립 56시간 저온숙성 탕종 숙식빵, 420g, 1개"
36,"신세계푸드 에콰도르 달콤 바나나, 1개, 1.25kg"
37,"풀무원 크고 단단한 두부, 500g, 1개"
38,"농심 올리브 짜파게티, 5개"
39,"곰곰 국내산 백오이, 3개입, 1개"
40,"파프리카 혼합, 2개입, 1개"
41,"곰곰 아삭한 숙주나물, 500g, 1개"
42,"농심 신라면, 5개"
43,"농심 신라면, 10개"
44,"친환경 새송이버섯, 400g, 1개"
45,"풀무원 특등급 국산콩 두부 부침찌개 겸용, 300g, 2개입"
46,"다향오리 1등급 훈제 오리 슬라이스, 600g, 1개"
47,"세도농협 GAP 인증 대추방울토마토, 1kg, 1박스"
48,"곰곰 무농약인증 국산 콩나물, 300g, 1개"
49,"제주 삼다수, 2L, 12개"
50,"조인 무항생제 대란, 30구, 1개"
51,"풀무원 특등급 국산콩 무농약 콩나물, 340g, 1개"
52,"풀무원 소가 찌개두부, 300g, 2개"
53,"제주삼다수 그린, 500ml, 40개"
54,"풀무원 소가 찌개두부, 290g, 1개"
55,"국내산 무농약 느타리버섯, 200g, 1개"
56,"곰곰 소중한 우리쌀 2023년(햅쌀), 10kg(상등급), 1개"
57,"곰곰 콩두부, 500g, 2개"
58,"남양유업 맛있는 우유 GT, 900ml, 1개"
59,"탐사수 무라벨, 500ml, 60개"
