순위,제목,가수
1,SPOT! (feat. JENNIE),지코 (ZICO)
2,Magnetic,아일릿(ILLIT)
3,나는 아픈 건 딱 질색이니까,(여자)아이들
4,고민중독,QWER
5,첫 만남은 계획대로 되지 않아,TWS (투어스)
6,해야 (HEYA),IVE (아이브)
7,미안해 미워해 사랑해,Crush
8,천상연,이창섭
9,MAESTRO,세븐틴 (SEVENTEEN)
10,SHEESH,BABYMONSTER
11,밤양갱,비비 (BIBI)
12,예뻤어,DAY6 (데이식스)
13,Love wins all,아이유
14,한 페이지가 될 수 있게,DAY6 (데이식스)
15,비의 랩소디,임재현
16,EASY,LE SSERAFIM (르세라핌)
17,Smart,LE SSERAFIM (르세라핌)
18,To. X,태연 (TAEYEON)
19,Hype Boy,NewJeans
20,사랑은 늘 도망가,임영웅
21,청춘찬가,세븐틴 (SEVENTEEN)
22,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection)
23,에피소드,이무진
24,모래 알갱이,임영웅
25,Welcome to the Show,DAY6 (데이식스)
26,Love 119,RIIZE
27,우리들의 블루스,임영웅
28,헤어지자 말해요,박재정
29,I AM,IVE (아이브)
30,Impossible,RIIZE
31,ETA,NewJeans
32,Do or Die,임영웅
33,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN)
34,Ditto,NewJeans
35,Perfect Night,LE SSERAFIM (르세라핌)
36,다시 만날 수 있을까,임영웅
37,Drama,aespa
38,Super Shy,NewJeans
39,손오공,세븐틴 (SEVENTEEN)
40,이제 나만 믿어요,임영웅
41,무지개,임영웅
42,Seven (feat. Latto) - Clean Ver.,정국
43,홀씨,아이유
44,인사,범진
45,London Boy,임영웅
46,LALALI,세븐틴 (SEVENTEEN)
47,아버지,임영웅
48,Siren,RIIZE
49,Polaroid,임영웅
50,OMG,NewJeans
51,MANIAC,VIVIZ (비비지)
52,사랑인가 봐,멜로망스
53,인생찬가,임영웅
54,꿈,태연 (TAEYEON)
55,사랑을 하기는 했나 봐,"허각, 지아"
56,너의 모든 순간,성시경
57,A bientot,임영웅
58,Attention,NewJeans
59,혹시 세상에 혼자 남겨진 것 같다면,우디 (Woody)
60,Midas Touch,KISS OF LIFE
61,WAY 4 LUV,PLAVE
62,Spell,세븐틴 (SEVENTEEN)
63,Get A Guitar,RIIZE
64,Love Lee,AKMU (악뮤)
65,연애편지,임영웅
66,반딧불 (Little Light),도영 (DOYOUNG)
67,사막에서 꽃을 피우듯,우디 (Woody)
68,By Your Side,Crush
69,좋아해요,폴킴
70,퀸카 (Queencard),(여자)아이들
71,주저하는 연인들을 위해,잔나비
72,사건의 지평선,윤하 (YOUNHA)
73,Super Lady,(여자)아이들
74,Accendio,IVE (아이브)
75,멈춰줘,헤이즈 (Heize)
76,Lucky Girl Syndrome,아일릿(ILLIT)
77,LOVE DIVE,IVE (아이브)
78,음악의 신,세븐틴 (SEVENTEEN)
79,Baddie,IVE (아이브)
80,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤)
81,봄날,방탄소년단
82,그대가 내 안에 박혔다(그내박),순순희(기태)
83,"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴
84,You & Me,제니 (JENNIE)
85,취중고백,김민석
86,Deja Vu,투모로우바이투게더
87,Spicy,aespa
88,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴
89,심(心),DK(디셈버)
90,I Don't Think That I Like Her,Charlie Puth
91,Dynamite,방탄소년단
92,소나기,이클립스
93,사랑하지 않아서 그랬어,임한별
94,우리 영화,PLAVE
95,다정히 내 이름을 부르면,"경서예지, 전건호"
96,내일에서 기다릴게 (I'll See You There Tomorrow),투모로우바이투게더
97,Ima -Even if the world ends tomorrow- (Korean Ver.),세븐틴 (SEVENTEEN)
98,Shopper,아이유
99,Wife,(여자)아이들
100,후라이의 꿈,AKMU (악뮤)
